ID,month,day,year,hour,nib,precip,tavg,tmax,tmin,srad,windspd,rh,hspec
1,1,1,2010,12,0,0,2.525,7.65,-2.6,72.9162,3.65,0.86,0.00428
2,1,2,2010,12,0,0,1.57,3.93,-0.79,76.3884,5.31,0.94,0.00437
3,1,3,2010,12,0,0,1.115,7.97,-5.74,89.1198,2.16,0.94,0.00423
4,1,4,2010,12,0,0,3.125,7.49,-1.24,92.592,1.34,0.49,0.002544
5,1,5,2010,12,0,0,2.92,8.09,-2.25,72.9162,5.02,0.94,0.004811
6,1,6,2010,12,0,0,1.655,6.41,-3.1,82.1754,5.89,0.88,0.004116
7,1,7,2010,12,0,0,5.525,11.12,-0.07,93.7494,0.91,0.76,0.004668
8,1,8,2010,12,0,0,5.82,9.6,2.04,78.7032,4.26,0.84,0.005266
9,1,9,2010,12,0,0,7.51,11.76,3.26,69.444,2.96,0.76,0.00535
10,1,10,2010,12,0,0,4.88,9.95,-0.19,86.805,4.28,0.9,0.005285
11,1,11,2010,12,0,0,5.32,10.11,0.53,85.6476,3.07,0.85,0.005147
12,1,12,2010,12,0,0,8.68,13.83,3.53,85.6476,1.92,0.87,0.006631
13,1,13,2010,12,0,0,8.06,10.83,5.29,81.018,3.42,0.88,0.006431
14,1,14,2010,12,0,0,6.2,11.03,1.37,90.2772,0.92,0.63,0.004054
15,1,15,2010,12,0,0,5.24,8.37,2.11,76.3884,2.18,0.72,0.004336
16,1,16,2010,12,0,0,7.28,12,2.56,67.1292,1.12,0.73,0.005059
17,1,17,2010,12,0,0,4.6,7.72,1.48,78.7032,1.35,0.75,0.004319
18,1,18,2010,12,0,0,-2.165,0.19,-4.52,28.935,4.19,0.99,0.003509
19,1,19,2010,12,0,0,-3.54,-0.22,-6.86,63.657,4.03,0.99,0.003168
20,1,20,2010,12,0,0,-1.755,4.59,-8.1,83.3328,1.88,0.71,0.002593
21,1,21,2010,12,0,0,3.975,10.04,-2.09,101.8512,2.31,0.87,0.004796
22,1,22,2010,12,0,0,2.45,10.66,-5.76,99.5364,1.53,0.76,0.003762
23,1,23,2010,12,0,0,3.225,9.62,-3.17,92.592,4.2,0.58,0.003033
24,1,24,2010,12,0,0,4.09,9.38,-1.2,93.7494,3.27,0.9,0.005002
25,1,25,2010,12,0,0,6.665,10.62,2.71,90.2772,4.82,0.78,0.005183
26,1,26,2010,12,0,0,7.65,13.72,1.58,107.6382,3.91,0.85,0.006041
27,1,27,2010,12,0,0,3.37,9.89,-3.15,107.6382,2.65,0.96,0.005072
28,1,28,2010,12,0,0,2.765,8.79,-3.26,92.592,5.74,0.95,0.004809
29,1,29,2010,12,0,1.16,2.21,6.46,-2.04,81.018,0.44,0.83,0.004039
30,1,30,2010,12,0,0,0.58,3.39,-2.23,90.2772,3.69,0.91,0.00394
31,1,31,2010,12,0,0,-2.67,-1.54,-3.8,30.0924,3.3,0.99,0.00338
32,2,1,2010,12,0,0,-4.31,-1.42,-7.2,32.4072,2.85,0.98,0.002961
33,2,2,2010,12,0,0,-3.475,-3.16,-3.79,25.4628,2.45,0.96,0.003087
34,2,3,2010,12,0,0,3.42,8.4,-1.56,104.166,4.1,0.74,0.003923
35,2,4,2010,12,0,0,-0.96,3.01,-4.93,99.5364,5.47,0.58,0.002246
36,2,5,2010,12,0,1.11,0.805,4.36,-2.75,61.3422,6.23,0.95,0.004181
37,2,6,2010,12,0,0,-1.36,-0.08,-2.64,81.018,3.68,0.99,0.003723
38,2,7,2010,12,0,0,-2.76,0.16,-5.68,46.296,6.4,0.89,0.003018
39,2,8,2010,12,0,0,-2.39,2.63,-7.41,114.5826,2.2,0.52,0.001813
40,2,9,2010,12,0,10.43,2.265,2.87,1.66,6.9444,4.8,0.99,0.004837
41,2,10,2010,12,0,0,8.85,14.71,2.99,84.4902,2.74,0.83,0.006399
42,2,11,2010,12,0,0,9.165,11.94,6.39,97.2216,1.58,0.62,0.004883
