LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Necturus maculosus,Mudpuppy,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0
Ambystoma jeffersonianum,Jefferson's Salamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0
Ambystoma laterale,Blue-spotted Salamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0
Ambystoma maculatum,Spotted Salamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0
Desmognathus fuscus,Northern Dusky Slamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Eurycea bislineata,Northern Two-lined Salamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hemidactylium scutatum,Four-toed Salamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Plethodon cinereus,Red-backed Salamander,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0
Notophthalmus viridescens,Eastern Newt,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,3,2,2,1,2,2,2,2,0
Bufo americanus,American Toad,3,C,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2
Bufo fowleri,Fowler's Toad,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,0
Acris crepitans,Northern Cricket Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,1,2,1,0,3,0
Hyla versicolor,Gray Treefrog,3,C,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,2,2
Pseudacris triseriata,Western Chorus Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,2,2
Pseudacris crucifer,Spring Peeper,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Rana catesbeiana,Bullfrog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0
Rana clamitans,Green Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0
Rana palustris,Pickerel Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,2,1,2,2,1,0,2
Rana pipiens,Northern Leopard Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,3,2,2,2,2,2,2,0,2
Rana septentrionalis,Mink Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0
Rana sylvatica,Wood Frog,3,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
Gavia immer,Common Loon,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
Podilymbus podiceps,Pied-billed Grebe,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Podiceps grisegena,Red-necked Grebe,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Phalacrocorax auritus,Double-crested Cormorant,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botaurus lentiginosus,American Bittern,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,3,1,2,0,1,2,3
Ixobrychus exilis,Least Bittern,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,3,3,0
Ardea herodias,Great Blue Heron,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,2,0,3,2,2,2,2,2,0,2,2,3
Ardea alba,Great Egret,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,3,2,2,2,2,2,0,2,2,3
Butorides virescens,Green Heron,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,2,2,2,2,0,3,1,0
Nycticorax nycticorax,Black-crowned Night-Heron,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,2,3,2,2,0,0,1,0
Cygnus columbianus,Tundra Swan,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branta canadensis,Canada Goose,1,C,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,2,2,2,0,3,3,2
Aix sponsa,Wood Duck,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,0,0,1,2,0,2,1,0
Anas crecca,Green-winged Teal,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0
Anas rubripes,American Black Duck,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,2,2,0
Anas platyrhynchos,Mallard,1,C,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2
Anas acuta,Northern Pintail,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,3,2,2
Anas discors,Blue-winged Teal,1,C,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,3,3,3
Anas clypeata,Northern Shoveler,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,2,0,0,0
Anas strepera,Gadwall,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,0,3,3,0
Anas americana,American Wigeon,1,C,3,3,3,3,3,3,0,0,3,3,3,3,0,3,3,2,0,0,0,0,0,0,2,2,2,2,2,0,3,3,0
Aythya americana,Redhead,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
Aythya collaris,Ring-necked Duck,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,2,2,2,2,0
Aythya marila,Greater Scaup,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aythya affinis,Lesser Scaup,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,3,1,0,0,0
Bucephala clangula,Common Goldeneye,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bucephala albeola,Bufflehead,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophodytes cucullatus,Hooded Merganser,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,2,2,2,2,2,1,0
Mergus merganser,Common Merganser,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,3,1,0,2,0
Mergus serrator,Red-breasted Merganser,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,1,0,2,0
Oxyura jamaicensis,Ruddy Duck,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cathartes aura,Turkey Vulture,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,0,0,2,0,0,0,0,0,0,3,3
Pandion haliaetus,Osprey,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,2,3,0,1,0,0,0,0,0,3,1,3
Haliaeetus leucocephalus,Bald Eagle,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,2,3,0,1,0,0,0,0,0,2,1,3
Circus cyaneus,Northern Harrier,1,C,3,3,3,3,3,3,2,0,3,3,3,3,1,1,1,2,0,0,0,0,0,2,2,2,0,1,0,0,1,2,2
Accipiter striatus,Sharp-shinned Hawk,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,3,2,0
Accipiter cooperii,Cooper's Hawk,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,2,0,0,1,0,0,0,0,0,0,2,3
Accipiter gentilis,Northern Goshawk,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,3,2,0
Buteo lineatus,Red-shouldered Hawk,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,3,1,0
Buteo platypterus,Broad-winged Hawk,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,3,2,0
Buteo jamaicensis,Red-tailed Hawk,1,C,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,3,2,2
Buteo lagopus,Rough-legged Hawk,1,C,2,2,2,2,2,2,2,3,3,3,2,2,1,1,1,2,3,3,0,3,2,2,3,2,2,1,0,0,2,3,1
Falco sparverius,American Kestrel,1,C,0,0,0,0,0,0,3,3,0,0,0,0,2,2,1,1,2,2,0,2,2,0,2,0,0,0,0,0,2,2,2
Falco columbarius,Merlin,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,0,0,1,0,0,0,0,0,2,1,0
