Test ,mont,day,year,hour,nib,prec_mm,temp_C
100,5,4,1996,12,0,0,6.605555556
101,5,5,1996,12,0,0,10.91111111
102,5,6,1996,12,0,0,10.55
103,5,7,1996,12,0,0,12.96666667
104,5,8,1996,12,0,0,9.677777778
105,5,9,1996,12,0,0,10.50555556
106,5,10,1996,12,0,0,12.28333333
107,5,11,1996,12,0,0,16.02222222
108,5,12,1996,12,0,0.254,18.99444444
109,5,13,1996,12,0,0,17.92777778
110,5,14,1996,12,0,11.938,15.96111111
111,5,15,1996,12,0,5.334,15.97777778
112,5,16,1996,12,0,12.7,12.22777778
113,5,17,1996,12,0,5.334,14.35
114,5,18,1996,12,0,8.382,10.91666667
115,5,19,1996,12,0,0.508,10.3
116,5,20,1996,12,0,0,10.71111111
117,5,21,1996,12,0,0.508,13.57777778
118,5,22,1996,12,0,1.778,11.1
119,5,23,1996,12,0,0.254,8.972222222
120,5,24,1996,12,0,0,13.52777778
121,5,25,1996,12,0,0,14.33888889
122,5,26,1996,12,0,0,16.28333333
123,5,27,1996,12,0,0.254,15.14444444
124,5,28,1996,12,0,0,12.96111111
125,5,29,1996,12,0,0.254,12.16111111
126,5,30,1996,12,0,0,12.19444444
127,5,31,1996,12,0,0,13.66666667
128,6,1,1996,12,0,0,15.47777778
129,6,2,1996,12,0,0,18.71666667
130,6,3,1996,12,0,0,22.01666667
131,6,4,1996,12,0,0,#VALUE!
132,6,5,1996,12,0,0,16.77222222
133,6,6,1996,12,0,0,19.25
134,6,7,1996,12,0,0,24.02777778
135,6,8,1996,12,0,0,25.92222222
136,6,9,1996,12,0,0,21.12222222
137,6,10,1996,12,0,0,18.19444444
138,6,11,1996,12,0,0,17.06111111
139,6,12,1996,12,0,0,17.13888889
140,6,13,1996,12,0,0,21.48888889
141,6,14,1996,12,0,0,21.33888889
142,6,15,1996,12,0,0.762,22.55
143,6,16,1996,12,0,0,20.31111111
144,6,17,1996,12,0,0.508,17.20555556
145,6,18,1996,12,0,0,11.47222222
146,6,19,1996,12,0,0,13.81666667
147,6,20,1996,12,0,0.254,15.99444444
148,6,21,1996,12,0,0,13.81666667
149,6,22,1996,12,0,0,15.69444444
150,6,23,1996,12,0,0.508,17.02222222
151,6,24,1996,12,0,1.27,13.00555556
152,6,25,1996,12,0,0,15.43888889
153,6,26,1996,12,0,1.524,15.37222222
154,6,27,1996,12,0,0.254,16.78333333
155,6,28,1996,12,0,0,16.21111111
156,6,29,1996,12,0,0,19.23333333
157,6,30,1996,12,0,0,21.23333333
158,7,1,1996,12,0,0,25.23888889
159,7,2,1996,12,0,0.254,27.41111111
160,7,3,1996,12,0,0,26.09444444
161,7,4,1996,12,0,0.254,24.58333333
162,7,5,1996,12,0,0,18.28888889
163,7,6,1996,12,0,0,17.53888889
164,7,7,1996,12,0,0,20.57222222
165,7,8,1996,12,0,0,21.62777778
166,7,9,1996,12,0,0,25.22777778
167,7,10,1996,12,0,0,22.85
168,7,11,1996,12,0,0,21.65555556
169,7,12,1996,12,0,0.254,22.77222222
170,7,13,1996,12,0,0,22.81111111
171,7,14,1996,12,0,0,23.05555556
172,7,15,1996,12,0,0.254,22.47222222
173,7,16,1996,12,0,0.762,21.85555556
174,7,17,1996,12,0,0,24.4
175,7,18,1996,12,0,0,17.97222222
176,7,19,1996,12,0,0,16.59444444
177,7,20,1996,12,0,0,18.76111111
178,7,21,1996,12,0,0.254,20.66111111
179,7,22,1996,12,0,0,22.18888889
180,7,23,1996,12,0,0,23.02222222
181,7,24,1996,12,0,0,24.54444444
182,7,25,1996,12,0,0,24.67222222
183,7,26,1996,12,0,0,25.57222222
184,7,27,1996,12,0,0,25.81111111
185,7,28,1996,12,0,0,25.47777778
186,7,29,1996,12,0,1.778,23.01666667
187,7,30,1996,12,0,0,22.87777778
188,7,31,1996,12,0,0,23.66111111
189,8,1,1996,12,0,0,24.42777778
190,8,2,1996,12,0,0.508,20.49444444
191,8,3,1996,12,0,0,17.05555556
192,8,4,1996,12,0,0.254,15.26666667
193,8,5,1996,12,0,0,18.65555556
194,8,6,1996,12,0,0,15.1
195,8,7,1996,12,0,0,19.86666667
196,8,8,1996,12,0,0.254,21.55
197,8,9,1996,12,0,0,22.45
198,8,10,1996,12,0,0,24.72222222
199,8,11,1996,12,0,0,27.09444444
200,8,12,1996,12,0,0,23.90555556
201,8,13,1996,12,0,0.254,26.66111111
202,8,14,1996,12,0,0,24.93333333
203,8,15,1996,12,0,0,24.75555556
204,8,16,1996,12,0,0.254,24.28333333
205,8,17,1996,12,0,0,20.45555556
206,8,18,1996,12,0,0,17.58333333
207,8,19,1996,12,0,0,18.08888889
208,8,20,1996,12,0,0.254,18.67777778
209,8,21,1996,12,0,0,17.14444444
210,8,22,1996,12,0,0,17.53333333
211,8,23,1996,12,0,0,19.65555556
212,8,24,1996,12,0,0,20.15555556
213,8,25,1996,12,0,0,21.67777778
214,8,26,1996,12,0,0,24.70555556
215,8,27,1996,12,0,0,21.71666667
216,8,28,1996,12,0,0,18.67777778
217,8,29,1996,12,0,0,20.04444444
218,8,30,1996,12,0,0,21.83888889
219,8,31,1996,12,0,0,18.11111111
220,9,1,1996,12,0,0,14.99444444
221,9,2,1996,12,0,0,15.52222222
222,9,3,1996,12,0,0.254,16.57222222
223,9,4,1996,12,0,0,18.62222222
224,9,5,1996,12,0,0.508,12.60555556
225,9,6,1996,12,0,0,12.49444444
226,9,7,1996,12,0,0,14.8
227,9,8,1996,12,0,0,17.43333333
228,9,9,1996,12,0,0,18.86666667
229,9,10,1996,12,0,0.254,21.16666667
230,9,11,1996,12,0,0,26.70555556
231,9,12,1996,12,0,0,22.29444444
232,9,13,1996,12,0,0,18.77222222
233,9,14,1996,12,0,0,16.75555556
234,9,15,1996,12,0,8.128,13.8
235,9,16,1996,12,0,0.254,9.922222222
236,9,17,1996,12,0,0,9.127777778
237,9,18,1996,12,0,0.254,9.727777778
238,9,19,1996,12,0,0,12.32777778
239,9,20,1996,12,0,0,12.81666667
240,9,21,1996,12,0,0,12.84444444
241,9,22,1996,12,0,0,8.727777778
242,9,23,1996,12,0,0,8.716666667
243,9,24,1996,12,0,0,9.988888889
244,9,25,1996,12,0,0,10.6
