STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080101,36,127,219,290,106,-150,26,-60,-17
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080201,58,127,191,241,133,-117,74,-31,22
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080301,61,0,263,0,172,-67,117,-10,54
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080401,36,0,52,0,267,-44,161,-2,79
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080501,66,0,133,0,344,-17,233,75,154
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080601,86,0,202,0,389,39,274,104,189
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080701,38,0,41,0,383,100,344,149,247
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080801,10,0,10,0,394,72,336,146,241
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20080901,244,0,269,0,328,44,268,78,173
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20081001,97,0,154,0,306,-28,189,33,111
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20081101,86,0,323,0,206,-44,115,5,60
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20081201,122,0,375,389,144,-167,47,-59,-6
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090101,89,0,312,115,128,-128,34,-42,-4
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090201,13,0,18,20,172,-117,81,-32,24
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090301,30,0,172,0,222,-78,118,-13,52
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090401,18,0,108,0,311,-78,175,22,99
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090501,137,0,270,0,361,6,243,72,157
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090601,117,0,437,0,361,17,275,120,198
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090701,5,0,5,0,400,100,342,152,247
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090801,74,0,176,0,394,100,320,135,228
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20090901,5,0,5,0,350,39,298,96,198
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20091001,69,0,293,0,250,-22,152,21,87
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20091101,64,0,139,0,167,-67,110,-16,47
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20091201,191,51,373,139,89,-206,15,-81,-33
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100101,102,51,325,0,128,-83,66,-20,23
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100201,74,0,204,10,133,-72,86,-6,40
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100301,76,0,259,0,206,-44,139,1,70
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100401,127,0,364,0,278,-39,168,12,90
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100501,254,0,527,0,294,-17,194,42,118
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100601,48,0,276,0,378,44,262,106,184
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100701,15,0,15,0,389,61,331,127,229
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100801,71,0,79,0,378,67,320,121,221
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20100901,10,0,13,0,328,28,272,78,175
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20101001,79,0,260,0,322,6,210,49,129
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20101101,142,0,324,8,194,-150,93,-24,34
GHCND:USC00106305,NAMPA SUGAR FACTORY ID US,20101201,216,0,801,210,111,-106,48,-42,3
,,,,2008,2232,,,,,,
,,,,2009,2308,,,,,,
,,,,2010,3447,,,,,,
